brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_per_kwh,efficiency,power_to_weight,cluster
Kia,EV6,2025,Base,74609.83,44.7,153.0,82.8,5.63,165.0,763.0,677.0,RWD,5,Truck,50.4,2255.0,5,1,South Korea,Premium,84247.0,3.42,3.0,1669.1237136465325,3.4228187919463084,338.35920177383593,1
Tesla,Cybertruck,2025,Base,87113.04,47.4,150.0,233.9,5.08,176.0,649.0,602.0,RWD,5,Truck,77.1,2639.0,4,2,US,Premium,217680.0,3.55,4.0,1837.8278481012655,3.1645569620253164,245.92648730579765,1
Mercedes,GLE EV,2024,Base,116775.93,78.6,259.0,119.6,5.62,166.0,633.0,567.0,RWD,5,Hatchback,29.0,1558.0,4,1,Germany,Luxury,43904.0,3.6,6.0,1485.698854961832,3.295165394402036,406.2901155327343,1
Volkswagen,ID.3,2024,Premium,98791.59,77.0,250.0,96.8,7.9,133.0,1000.0,918.0,AWD,5,Hatchback,25.9,1840.0,5,0,Germany,Premium,289215.0,3.46,4.0,1283.0076623376624,3.2467532467532467,543.4782608695651,1
Tesla,Model S,2023,Base,56750.25,40.5,163.0,297.6,7.9,136.0,387.0,382.0,AWD,5,Van,72.2,1500.0,4,2,US,Mid-range,175034.0,3.89,4.0,1401.2407407407406,4.024691358024692,258.0,1
Ford,E-Transit,2025,Standard,49970.16,77.5,267.0,56.6,5.0,181.0,406.0,375.0,RWD,7,Truck,54.0,2803.0,4,1,US,Mid-range,35218.0,3.57,3.0,644.7762580645161,3.445161290322581,144.84480913307172,1
BYD,Max,2024,Standard,39727.71,45.3,154.0,108.8,5.19,170.0,400.0,312.0,AWD,7,Van,74.9,1609.0,4,1,China,Mid-range,139199.0,3.11,5.0,876.9913907284769,3.3995584988962477,248.60161591050343,1
BMW,i4,2025,Base,85729.44,59.9,191.0,145.7,5.99,168.0,651.0,567.0,RWD,5,Truck,68.3,2688.0,5,2,Germany,Premium,29338.0,3.48,6.0,1431.209348914858,3.18864774624374,242.1875,1
Tesla,Cybertruck,2022,Performance,167624.71375,84.4,303.0,306.9,3.88,186.0,1000.0,875.0,RWD,7,Truck,63.7,2467.0,4,2,US,Luxury,163960.0,4.09,5.0,1986.0748074644548,3.590047393364929,405.35062829347385,0
Hyundai,Ioniq 5,2024,Premium,80948.92,68.6,262.0,104.1,5.97,162.0,1000.0,898.0,FWD,7,Van,77.2,1500.0,5,1,South Korea,Premium,134570.0,3.64,3.0,1180.0134110787174,3.8192419825072887,666.6666666666666,0
Kia,Picanto EV,2022,Base,43745.72,58.3,197.0,109.4,7.32,141.0,381.0,354.0,RWD,7,Hatchback,27.1,1724.0,5,0,South Korea,Mid-range,77441.0,3.34,4.0,750.3554030874786,3.379073756432247,220.99767981438515,1
BMW,i3,2023,Long Range,134039.99,84.4,313.0,79.4,4.43,177.0,1000.0,874.0,AWD,5,Sedan,26.8,1652.0,5,2,Germany,Luxury,70841.0,3.71,5.0,1588.15154028436,3.708530805687204,605.3268765133172,0
GM/Chevrolet,Blazer EV,2025,Premium,80896.01,64.4,194.0,102.1,6.97,148.0,1000.0,881.0,RWD,5,Hatchback,27.2,1500.0,4,0,US,Premium,11404.0,3.35,4.0,1256.1492236024842,3.012422360248447,666.6666666666666,1
Lucid,Air,2026,Standard,167624.71375,57.8,235.0,215.3,7.53,138.0,953.0,859.0,FWD,7,Coupe,23.6,1531.0,4,0,US,Luxury,26890.0,3.19,5.0,2900.081552768166,4.065743944636679,622.4689745264533,1
Hyundai,i30,2023,Long Range,65970.0,108.1,394.0,85.8,4.76,179.0,835.0,684.0,FWD,5,Coupe,38.2,1500.0,5,1,South Korea,Premium,146072.0,4.09,4.0,610.2682701202591,3.64477335800185,556.6666666666666,0
BYD,Qin,2024,Premium,67622.89,80.4,289.0,98.5,7.92,131.0,740.0,667.0,AWD,5,Hatchback,28.6,1988.0,4,0,China,Premium,235660.0,3.57,5.0,841.0807213930348,3.5945273631840795,372.2334004024145,1
Ford,E-Transit,2023,Base,42208.33,66.3,224.0,72.3,5.56,165.0,401.0,336.0,AWD,5,SUV,35.2,1892.0,5,0,US,Mid-range,47569.0,3.37,4.0,636.6263951734541,3.378582202111614,211.9450317124736,1
Toyota,bZ4X,2022,Standard,69982.49,42.6,156.0,93.7,6.21,153.0,850.0,731.0,AWD,5,Truck,64.8,2317.0,5,1,Japan,Premium,8818.0,3.15,3.0,1642.781455399061,3.661971830985916,366.85369011653,1
Mercedes,EQE,2021,Performance,165233.4,100.3,329.0,158.6,4.02,194.0,1000.0,842.0,AWD,7,Van,62.5,1751.0,4,1,Germany,Luxury,35726.0,3.78,6.0,1647.3918245264208,3.280159521435693,571.1022272986864,0
Volkswagen,ID.4,2025,Performance,80549.5,119.7,447.0,160.5,3.41,192.0,904.0,799.0,RWD,7,Truck,70.9,2812.0,5,0,Germany,Premium,291709.0,3.7,3.0,672.9281537176274,3.7343358395989976,321.4793741109531,0
Tesla,Model Y,2020,Long Range,96390.76,80.4,287.0,340.0,5.88,160.0,697.0,653.0,FWD,5,Van,74.0,1505.0,4,3,US,Premium,385830.5,3.82,5.0,1198.8900497512436,3.569651741293532,463.12292358803984,0
Kia,Picanto EV,2025,Base,41416.02,60.8,228.0,142.9,5.91,160.0,367.0,344.0,RWD,5,Hatchback,22.0,1500.0,5,1,South Korea,Mid-range,137512.0,3.35,3.0,681.1845394736841,3.75,244.66666666666663,1
GM/Chevrolet,Silverado EV,2023,Standard,64132.24,51.9,150.0,51.2,6.67,155.0,870.0,835.0,RWD,5,Truck,66.5,2693.0,4,0,US,Mid-range,5462.0,3.44,4.0,1235.6886319845858,2.8901734104046244,323.05978462681026,1
BYD,Seagull,2024,Performance,117281.9,115.7,431.0,193.6,3.76,195.0,1000.0,869.0,FWD,5,Sedan,22.2,1500.0,3,0,China,Luxury,111137.0,3.92,3.0,1013.6724286949004,3.725151253241141,666.6666666666666,0
Toyota,bZ4X,2025,Long Range,77617.51,84.5,295.0,80.6,5.04,180.0,1000.0,840.0,AWD,7,Coupe,16.0,1500.0,5,0,Japan,Premium,15856.0,3.46,4.0,918.5504142011832,3.4911242603550297,666.6666666666666,0
GM/Chevrolet,Bolt EV,2025,Performance,53614.17,77.3,266.0,153.0,3.29,192.0,663.0,599.0,FWD,7,Truck,51.2,2645.0,5,2,US,Mid-range,7236.0,3.24,3.0,693.5856403622251,3.441138421733506,250.66162570888469,0
Kia,Niro EV,2026,Premium,98299.99,73.4,245.0,132.5,5.83,165.0,1000.0,918.0,RWD,5,Coupe,25.6,1500.0,5,1,South Korea,Premium,126328.0,3.5,4.0,1339.2369209809265,3.3378746594005446,666.6666666666666,0
BYD,Dolphin,2023,Premium,65383.31,69.6,240.0,146.2,6.25,161.0,763.0,709.0,RWD,5,Coupe,32.2,1500.0,5,1,China,Premium,171261.0,3.56,4.0,939.4153735632184,3.4482758620689657,508.6666666666667,1
Volkswagen,ID.3,2025,Performance,88158.61,99.8,333.0,200.8,2.63,200.0,1000.0,916.0,AWD,7,Hatchback,27.4,1591.0,5,1,Germany,Premium,265949.0,3.68,4.0,883.3528056112225,3.3366733466933867,628.5355122564424,0
GM/Chevrolet,Bolt EV,2022,Long Range,49443.87,82.7,262.0,103.5,4.7,179.0,556.0,481.0,FWD,5,Van,61.5,1500.0,4,1,US,Mid-range,17112.0,3.4,3.0,597.870253929867,3.16807738814994,370.6666666666666,0
Tesla,Model 3,2023,Base,33304.79,70.4,262.0,309.3,5.0,180.0,235.0,266.0,RWD,5,Van,77.5,1500.0,4,3,US,Budget,239021.0,3.85,5.0,473.0794034090909,3.7215909090909087,156.66666666666669,1
Tesla,Model S,2025,Long Range,129183.24,87.9,337.0,250.2,5.39,169.0,976.0,910.0,FWD,7,Hatchback,19.7,1638.0,5,2,US,Luxury,207546.0,3.74,6.0,1469.661433447099,3.8339021615472126,595.8485958485959,0
Tesla,Cybertruck,2025,Long Range,132226.95,87.5,319.0,265.2,4.66,176.0,983.0,865.0,RWD,5,Truck,78.7,2287.0,5,3,US,Luxury,133735.0,3.85,4.0,1511.1651428571429,3.645714285714286,429.820725841714,0
Mercedes,EQE,2026,Base,59152.02,43.6,162.0,122.2,5.26,170.0,157.0,200.0,FWD,7,SUV,56.9,2444.0,4,2,Germany,Mid-range,57795.0,3.37,5.0,1356.6977064220182,3.715596330275229,64.23895253682488,1
GM/Chevrolet,Equinox EV,2026,Performance,42539.36,109.6,371.0,156.4,2.86,200.0,438.0,442.0,RWD,5,SUV,44.4,2235.0,5,2,US,Mid-range,18263.0,3.65,4.0,388.13284671532847,3.385036496350365,195.9731543624161,0
Hyundai,Ioniq 5,2026,Premium,86930.64,49.4,177.0,92.9,5.55,171.0,1000.0,867.0,RWD,7,Sedan,26.0,1500.0,4,1,South Korea,Premium,147601.0,3.5,4.0,1759.7295546558703,3.582995951417004,666.6666666666666,1
Tesla,Model S,2025,Premium,162032.44,61.2,193.0,290.6,7.64,132.0,1000.0,851.0,AWD,5,Sedan,22.4,1618.0,5,2,US,Luxury,210253.0,3.9,4.0,2647.588888888889,3.15359477124183,618.0469715698393,1
Hyundai,Kona Electric,2025,Premium,51036.86,52.8,234.0,130.6,7.37,142.0,584.0,538.0,AWD,5,Coupe,34.4,2027.0,5,2,South Korea,Mid-range,55671.0,3.38,3.0,966.607196969697,4.431818181818182,288.1105081401085,1
Hyundai,Kona Electric,2024,Base,52223.31,42.1,150.0,116.5,6.02,161.0,566.0,488.0,RWD,5,Van,65.7,1635.0,4,1,South Korea,Mid-range,89573.0,3.43,3.0,1240.4586698337291,3.5629453681710213,346.177370030581,1
Tesla,Model S,2025,Base,54018.19,40.6,150.0,208.1,6.79,145.0,379.0,325.0,AWD,5,Coupe,37.4,1787.0,4,3,US,Mid-range,101221.0,3.6,4.0,1330.497290640394,3.694581280788177,212.08729714605485,1
Volkswagen,ID.5,2025,Base,78662.15,41.4,150.0,77.3,7.77,134.0,898.0,772.0,RWD,5,Van,74.5,1500.0,4,0,Germany,Premium,237990.0,3.28,4.0,1900.0519323671497,3.6231884057971016,598.6666666666666,1
BMW,i5,2024,Performance,76696.39,87.4,313.0,196.4,3.49,192.0,523.0,468.0,AWD,5,SUV,68.3,2006.0,5,1,Germany,Premium,21525.0,3.69,5.0,877.533066361556,3.581235697940503,260.71784646061815,0
Tesla,Model S,2023,Long Range,98608.05,77.7,286.0,228.4,4.94,183.0,718.0,700.0,FWD,5,Hatchback,39.2,1521.0,4,2,US,Premium,246839.0,3.98,4.0,1269.0868725868727,3.6808236808236807,472.0578566732413,0
Volkswagen,ID.4,2026,Standard,86543.35,56.3,193.0,94.1,6.9,152.0,935.0,853.0,FWD,5,Hatchback,19.0,1583.0,4,0,Germany,Premium,282690.0,3.24,3.0,1537.182060390764,3.4280639431616344,590.6506632975363,1
BMW,i4,2026,Standard,72989.13,82.0,298.0,77.5,6.52,146.0,467.0,428.0,RWD,5,Hatchback,28.4,1500.0,5,2,Germany,Premium,49770.0,3.42,6.5,890.1113414634146,3.634146341463415,311.33333333333337,1
Mercedes,EQS,2024,Premium,99625.48,81.2,306.0,72.8,6.47,153.0,534.0,467.0,AWD,5,SUV,65.1,1569.0,4,2,Germany,Premium,71016.0,3.79,6.5,1226.914778325123,3.768472906403941,340.3441682600382,1
Tesla,Model X,2026,Long Range,142726.14,94.6,318.0,205.9,4.61,176.0,1000.0,871.0,RWD,5,Coupe,32.1,1500.0,4,2,US,Luxury,176985.0,4.23,5.0,1508.732980972516,3.3615221987315014,666.6666666666666,0
Tesla,Model 3,2025,Base,42979.12,62.8,229.0,275.3,7.9,133.0,252.0,227.0,AWD,7,SUV,51.8,1730.0,4,2,US,Mid-range,207769.0,3.71,5.0,684.3808917197453,3.646496815286624,145.66473988439307,1
Kia,Picanto EV,2024,Premium,56096.47,47.3,176.0,107.5,5.39,159.0,531.0,469.0,RWD,5,Coupe,33.7,1841.0,3,0,South Korea,Mid-range,113782.0,3.4,3.0,1185.9718816067657,3.72093023255814,288.4302009777295,1
NIO,EL8,2024,Base,82536.87,69.7,264.0,114.2,7.79,127.0,730.0,687.0,FWD,7,Truck,56.6,2319.0,5,0,China,Premium,17477.0,3.38,5.0,1184.1731707317072,3.787661406025825,314.79085812850366,1
Kia,EV9,2026,Base,62907.99,56.0,184.0,97.7,7.47,142.0,663.0,579.0,FWD,5,SUV,53.0,1838.0,5,0,South Korea,Mid-range,93165.0,3.26,3.0,1123.3569642857142,3.2857142857142856,360.7181719260065,1
Volkswagen,ID.5,2025,Performance,97402.81,71.7,258.0,153.8,3.48,200.0,1000.0,912.0,RWD,5,Truck,77.9,2374.0,4,1,Germany,Premium,255988.0,3.58,4.0,1358.477126917713,3.598326359832636,421.22999157540016,0
BMW,i7,2025,Standard,85706.08,45.1,150.0,127.7,7.87,135.0,650.0,634.0,FWD,5,Hatchback,31.2,1703.0,4,2,Germany,Premium,78799.0,3.26,6.5,1900.356541019956,3.325942350332594,381.6793893129772,1
Hyundai,Ioniq 6,2024,Base,54234.95,58.4,217.0,131.1,7.58,132.0,577.0,530.0,FWD,7,Truck,50.2,2843.0,5,2,South Korea,Mid-range,136935.0,3.41,4.0,928.6806506849316,3.7157534246575343,202.9546253957088,1
Kia,Picanto EV,2023,Premium,95598.48,63.5,202.0,141.1,5.52,166.0,1000.0,845.0,AWD,5,SUV,44.2,1516.0,5,1,South Korea,Premium,107457.0,3.32,5.0,1505.487874015748,3.1811023622047245,659.6306068601583,0
NIO,EC6,2023,Long Range,98011.85,106.2,364.0,79.6,5.43,171.0,953.0,885.0,AWD,7,Sedan,20.5,1662.0,4,0,China,Premium,12631.0,3.86,5.0,922.8987758945386,3.427495291902072,573.4055354993983,0
Toyota,bZ Compact SUV,2024,Base,62799.62,80.2,271.0,97.3,7.03,143.0,717.0,661.0,RWD,5,SUV,35.4,1773.0,4,0,Japan,Mid-range,8458.0,3.67,4.0,783.0376558603491,3.3790523690773067,404.39932318104906,1
Tesla,Model Y,2024,Long Range,85409.4,94.6,338.0,290.6,5.5,167.0,614.0,573.0,AWD,5,Sedan,22.0,1500.0,4,2,US,Premium,385830.5,4.06,5.0,902.84778012685,3.572938689217759,409.3333333333333,0
Tesla,Model 3,2026,Long Range,153057.04,85.2,285.0,338.3,4.28,186.0,1000.0,855.0,RWD,7,Coupe,15.0,1574.0,5,2,US,Luxury,178740.0,4.06,5.0,1796.4441314553992,3.345070422535211,635.3240152477764,0
Tesla,Cybertruck,2023,Standard,121896.5,64.2,216.0,291.3,7.11,145.0,841.0,748.0,RWD,7,Truck,77.0,2332.0,5,2,US,Luxury,186743.0,3.62,4.0,1898.6993769470405,3.364485981308411,360.6346483704974,1
BMW,i7,2025,Base,66273.55,72.4,246.0,51.7,6.85,154.0,327.0,326.0,FWD,5,Truck,74.8,2768.0,5,1,Germany,Premium,30088.0,3.19,6.5,915.3805248618784,3.3977900552486187,118.13583815028902,1
BYD,Atto 3,2022,Premium,36072.31,77.7,251.0,60.8,6.32,154.0,365.0,296.0,RWD,7,Van,71.3,1527.0,4,2,China,Mid-range,159638.0,3.48,4.0,464.2510939510939,3.2303732303732304,239.0307793058284,1
Mercedes,GLE EV,2025,Base,127213.62,61.6,214.0,99.5,6.47,146.0,697.0,636.0,FWD,5,Sedan,35.8,1918.0,4,1,Germany,Luxury,74928.0,3.82,5.0,2065.1561688311685,3.474025974025974,363.3993743482795,1
Tesla,Model X,2024,Standard,79315.78,60.6,195.0,277.0,5.73,164.0,551.0,541.0,FWD,7,Truck,62.3,2173.0,5,2,US,Premium,122128.0,3.66,4.0,1308.8412541254124,3.2178217821782176,253.5664979291302,1
Ford,Explorer EV,2023,Base,35481.88,41.0,173.0,58.6,6.38,155.0,202.0,205.0,RWD,5,Hatchback,36.3,1677.0,5,1,US,Mid-range,63701.0,3.25,4.0,865.4117073170731,4.219512195121951,120.45319022063208,1
BYD,Dolphin,2026,Standard,82657.26,83.9,294.0,66.6,7.12,153.0,891.0,772.0,AWD,7,Van,72.6,1904.0,5,0,China,Premium,156944.0,3.54,4.0,985.1878426698448,3.504171632896305,467.9621848739496,1
GM/Chevrolet,Silverado EV,2025,Standard,70239.01,40.5,150.0,137.3,5.25,184.0,989.0,925.0,FWD,7,Van,61.8,1577.0,5,1,US,Premium,23483.0,3.13,4.0,1734.2965432098763,3.703703703703704,627.1401395053899,0
Audi,e-tron,2024,Long Range,130131.59,94.0,322.0,123.8,5.61,163.0,1000.0,858.0,AWD,7,Sedan,37.7,1642.0,4,2,Germany,Luxury,36875.0,3.63,6.5,1384.3786170212766,3.425531914893617,609.0133982947625,0
GM/Chevrolet,Bolt EV,2024,Long Range,56344.05,94.4,351.0,75.4,4.84,176.0,710.0,584.0,AWD,7,Coupe,17.2,1500.0,5,0,US,Mid-range,12802.0,3.81,4.0,596.864936440678,3.7182203389830506,473.3333333333333,0
Ford,F-150 Lightning,2024,Standard,59797.58,46.4,171.0,93.5,6.46,154.0,628.0,589.0,FWD,4,Truck,56.0,2692.0,4,0,US,Mid-range,57357.0,3.14,4.0,1288.740948275862,3.685344827586207,233.28380386329863,1
BYD,Leaf 50X,2023,Long Range,100157.25,105.4,362.0,110.2,5.21,177.0,1000.0,892.0,FWD,5,Truck,67.7,2399.0,4,1,China,Luxury,107443.0,3.79,5.0,950.2585388994308,3.4345351043643264,416.8403501458941,0
Tesla,Model Y,2023,Base,55299.28,40.9,150.0,246.4,6.71,151.0,380.0,293.0,RWD,5,Hatchback,16.3,1605.0,5,2,US,Mid-range,385830.5,3.75,4.0,1352.0606356968217,3.6674816625916873,236.7601246105919,1
GM/Chevrolet,Blazer EV,2025,Long Range,44798.27,109.1,375.0,109.1,5.22,168.0,493.0,430.0,RWD,5,Hatchback,22.4,1636.0,4,0,US,Mid-range,19461.0,3.6,4.0,410.616590284143,3.4372135655362057,301.3447432762836,0
Ford,E-Transit,2024,Performance,98104.32,80.3,266.0,224.7,4.19,181.0,1000.0,873.0,RWD,7,Van,69.4,1563.0,4,1,US,Premium,47356.0,3.62,4.0,1221.7225404732255,3.3125778331257782,639.7952655150352,0
Volvo,XC90 Recharge,2025,Standard,55877.09,51.9,192.0,144.5,5.14,166.0,327.0,284.0,FWD,5,Van,65.0,1577.0,5,1,Sweden,Mid-range,15994.0,3.31,5.0,1076.6298651252407,3.699421965317919,207.3557387444515,1
Volkswagen,ID.3,2024,Base,32753.54,42.3,178.0,134.1,7.05,139.0,184.0,200.0,RWD,5,Truck,64.6,2243.0,5,1,Germany,Budget,224478.0,3.16,3.0,774.3153664302602,4.208037825059102,82.03299152920196,1
Volkswagen,ID.3,2022,Standard,73902.85,64.0,231.0,121.1,5.91,168.0,839.0,757.0,FWD,7,Van,60.7,1754.0,4,0,Germany,Premium,251288.0,3.32,4.0,1154.73203125,3.609375,478.3352337514253,1
BYD,Dolphin,2025,Standard,22600.22,66.9,206.0,59.0,6.69,146.0,176.0,200.0,FWD,7,Hatchback,22.8,1771.0,5,0,China,Budget,131689.0,3.16,4.0,337.8209267563528,3.0792227204783256,99.37888198757764,1
Rivian,R1S,2024,Long Range,99040.38,77.6,294.0,52.0,5.14,169.0,1000.0,900.0,FWD,5,Coupe,38.2,1864.0,5,0,US,Premium,10950.0,3.77,6.0,1276.293556701031,3.788659793814433,536.4806866952789,0
Mercedes,EQC,2026,Performance,108052.79,111.2,390.0,197.2,3.61,196.0,517.0,476.0,AWD,7,Hatchback,36.9,2011.0,5,2,Germany,Luxury,49733.0,4.02,5.0,971.6977517985612,3.5071942446043165,257.0860268523123,0
Hyundai,i30,2025,Standard,65007.57,44.2,150.0,125.0,5.41,174.0,772.0,707.0,FWD,7,Hatchback,15.3,1717.0,4,1,South Korea,Premium,138781.0,3.03,4.0,1470.7595022624434,3.3936651583710407,449.6214327315084,1
Mercedes,EQS,2023,Long Range,123138.78,81.2,263.0,135.2,5.51,174.0,664.0,636.0,AWD,7,Truck,54.4,2004.0,5,1,Germany,Luxury,65127.0,3.77,5.0,1516.4874384236452,3.2389162561576352,331.3373253493014,0
BYD,Atto 3,2020,Performance,102787.75,92.6,323.0,210.6,3.62,194.0,1000.0,913.0,RWD,5,Van,70.0,1500.0,4,1,China,Luxury,117639.0,3.79,5.0,1110.018898488121,3.4881209503239745,666.6666666666666,0
Audi,e-tron,2025,Base,79195.78,74.7,275.0,130.6,5.49,162.0,474.0,339.0,FWD,5,Sedan,32.7,1535.0,4,1,Germany,Premium,62967.0,3.57,6.0,1060.184471218206,3.681392235609103,308.7947882736156,1
Volkswagen,ID.4,2024,Premium,93014.64,70.2,255.0,75.2,5.06,169.0,1000.0,941.0,AWD,5,Truck,78.3,2324.0,5,1,Germany,Premium,264436.0,3.26,4.0,1324.9948717948716,3.632478632478633,430.29259896729775,0
Tesla,Model X,2025,Standard,76635.5,45.2,150.0,322.5,5.59,175.0,561.0,470.0,RWD,5,SUV,56.8,1709.0,5,2,US,Premium,167458.0,3.59,5.0,1695.475663716814,3.31858407079646,328.26214160327675,1
BYD,Leaf 50X,2026,Premium,60331.49,43.6,175.0,101.4,7.08,136.0,653.0,581.0,RWD,5,Coupe,19.4,1729.0,4,1,China,Mid-range,145412.0,3.34,4.0,1383.7497706422018,4.013761467889908,377.67495662232506,1
Toyota,bZ Compact SUV,2022,Base,59240.75,70.1,267.0,99.5,5.9,162.0,648.0,553.0,RWD,5,SUV,41.3,2240.0,4,0,Japan,Mid-range,18789.0,3.47,4.0,845.0891583452212,3.808844507845935,289.28571428571433,1
Toyota,bZ Compact SUV,2024,Standard,62299.25,60.9,213.0,91.4,5.32,169.0,673.0,581.0,AWD,5,SUV,55.5,2079.0,3,1,Japan,Mid-range,25820.0,3.36,4.0,1022.9761904761904,3.497536945812808,323.71332371332375,1
BMW,iX,2026,Standard,111475.63,44.2,150.0,88.9,6.23,159.0,959.0,885.0,RWD,5,Van,71.8,1551.0,4,1,Germany,Luxury,22266.0,3.33,5.0,2522.0730769230768,3.3936651583710407,618.3107672469374,1
Volkswagen,ID.4,2023,Premium,44868.54,71.0,254.0,133.6,7.27,135.0,370.0,382.0,RWD,5,Sedan,18.4,1500.0,3,2,Germany,Mid-range,264149.0,3.6,5.0,631.9512676056338,3.5774647887323945,246.66666666666669,1
BYD,Atto 3,2026,Long Range,67426.93,98.7,353.0,89.8,5.91,162.0,739.0,692.0,FWD,5,Sedan,26.6,1641.0,4,0,China,Premium,102350.0,3.66,4.0,683.1502532928064,3.576494427558257,450.33516148689824,0
BYD,Dolphin,2025,Performance,53327.95,101.5,344.0,246.8,4.27,186.0,555.0,489.0,RWD,5,Sedan,16.0,1500.0,4,0,China,Mid-range,120007.0,3.46,4.0,525.3985221674876,3.3891625615763545,370.0,0
BMW,i7,2022,Standard,69932.43,67.0,249.0,58.9,7.58,140.0,419.0,314.0,FWD,5,Hatchback,39.1,1591.0,5,1,Germany,Premium,52868.0,3.54,6.5,1043.7676119402984,3.716417910447761,263.3563796354494,1
GM/Chevrolet,Silverado EV,2025,Performance,50051.2,92.1,286.0,194.0,3.44,199.0,568.0,519.0,RWD,7,Sedan,33.4,1500.0,5,2,US,Mid-range,17861.0,3.54,3.0,543.4440825190011,3.1053203040173725,378.6666666666666,0
Ford,Explorer EV,2021,Long Range,77562.36,104.2,348.0,135.1,5.55,156.0,881.0,758.0,FWD,5,Hatchback,26.2,1721.0,4,1,US,Premium,27293.0,3.54,3.0,744.3604606525912,3.339731285988484,511.9116792562464,0
Hyundai,Ioniq 5,2023,Standard,68110.08,72.3,255.0,144.0,6.66,152.0,842.0,760.0,FWD,5,Truck,56.0,2701.0,4,0,South Korea,Premium,73761.0,3.77,4.0,942.048132780083,3.526970954356847,311.7363939281748,1
Kia,EV9,2022,Performance,67330.57,77.1,284.0,154.4,4.17,194.0,742.0,621.0,RWD,5,SUV,50.4,1973.0,5,2,South Korea,Premium,91349.0,3.46,4.0,873.2888456549937,3.683527885862517,376.0770400405474,0
Volkswagen,ID. Aero,2025,Premium,89383.1,57.7,217.0,133.5,6.68,143.0,1000.0,885.0,AWD,5,Truck,50.6,3000.0,4,1,Germany,Premium,222817.0,3.39,4.0,1549.100519930676,3.760831889081456,333.3333333333333,1
Audi,Q4 e-tron,2024,Base,108294.87,84.2,297.0,86.6,7.49,142.0,803.0,720.0,RWD,5,Truck,63.1,2606.0,5,1,Germany,Luxury,75960.0,3.64,6.0,1286.1623515439428,3.527315914489311,308.1350729086723,1
BYD,Max,2025,Performance,92829.9,82.3,285.0,154.4,2.99,200.0,1000.0,876.0,RWD,7,SUV,36.9,1909.0,5,0,China,Premium,235698.0,3.58,4.0,1127.9453219927095,3.462940461725395,523.8344683080147,0
Tesla,Cybertruck,2025,Premium,35991.9,60.6,218.0,232.1,6.3,151.0,240.0,200.0,AWD,5,Truck,51.5,2427.0,4,2,US,Mid-range,169730.0,3.71,6.0,593.9257425742575,3.597359735973597,98.88751545117428,1
Ford,Explorer EV,2023,Standard,73469.82,58.2,186.0,88.3,7.61,134.0,859.0,769.0,RWD,5,Coupe,29.9,1500.0,5,0,US,Premium,59218.0,3.38,3.0,1262.3680412371134,3.1958762886597936,572.6666666666666,1
Kia,Niro EV,2026,Standard,72349.57,59.3,198.0,74.4,7.19,149.0,842.0,756.0,FWD,7,SUV,55.2,1981.0,4,0,South Korea,Premium,69075.0,3.22,5.0,1220.0602023608772,3.338954468802698,425.03785966683495,1
Tesla,Model Y,2024,Premium,47765.25,45.3,171.0,305.8,6.25,167.0,306.0,318.0,RWD,5,Sedan,25.0,1500.0,5,3,US,Mid-range,385830.5,3.45,4.0,1054.4205298013246,3.774834437086093,204.0,1
Ford,Mustang Mach-E,2024,Performance,92734.95,71.6,257.0,171.2,4.22,183.0,1000.0,917.0,RWD,7,Van,71.5,1569.0,4,0,US,Premium,52532.0,3.34,5.0,1295.1808659217877,3.5893854748603355,637.3486297004462,0
GM/Chevrolet,Bolt EUV,2024,Standard,53007.41,82.4,303.0,146.8,7.4,145.0,623.0,533.0,RWD,5,SUV,44.5,2061.0,4,1,US,Mid-range,25295.0,3.72,5.0,643.2938106796116,3.677184466019417,302.2804463852499,1
Porsche,Taycan,2023,Base,145262.78,70.6,265.0,329.1,7.46,148.0,626.0,548.0,RWD,5,Hatchback,17.8,1755.0,4,2,Germany,Luxury,24347.0,3.55,6.5,2057.546458923513,3.753541076487252,356.69515669515664,1
Volkswagen,ID.4,2022,Performance,102466.68,77.6,281.0,218.0,4.12,189.0,1000.0,886.0,RWD,7,Truck,65.3,2347.0,5,1,Germany,Luxury,252835.0,3.37,5.0,1320.4469072164948,3.621134020618557,426.0758414997869,0
Ford,Explorer EV,2026,Standard,69136.54,53.2,193.0,107.3,6.38,161.0,768.0,638.0,FWD,5,SUV,37.7,2080.0,3,2,US,Premium,61663.0,3.2,4.0,1299.5590225563908,3.62781954887218,369.2307692307692,1
Porsche,Taycan,2026,Long Range,167624.71375,82.6,288.0,304.4,5.9,161.0,1000.0,915.0,RWD,5,SUV,42.7,2169.0,5,0,Germany,Luxury,5345.0,3.64,6.0,2029.354888014528,3.4866828087167074,461.0419548178885,0
Kia,Niro EV,2020,Base,46532.99,75.9,260.0,71.9,5.92,156.0,419.0,386.0,RWD,7,Van,72.8,1762.0,4,0,South Korea,Mid-range,63258.0,3.48,4.0,613.0828722002634,3.4255599472990776,237.7979568671964,1
Tesla,Model Y,2025,Long Range,161112.44,98.8,371.0,313.4,5.56,163.0,1000.0,875.0,AWD,7,Coupe,33.0,1641.0,4,2,US,Luxury,385830.5,4.22,5.0,1630.6927125506074,3.7550607287449393,609.3845216331505,0
